disease	SnoRNA	Score
4	172	0.9999993310043886
4	103	0.999999263486818
6	82	0.9999985297971015
6	184	0.9999985297971015
6	34	0.9999985297971015
6	41	0.9999985297971015
6	186	0.9999985297971015
6	195	0.9999985297971015
6	129	0.9999985297971015
0	38	0.9999980393813134
2	19	0.9999948598291819
0	82	0.9999932723112002
0	156	0.999986604338061
4	156	0.9999856845995354
16	38	0.9999838282169904
0	103	0.9974603355238713
6	25	0.9961223105046122
6	26	0.9961223105046122
6	103	0.995988942708338
6	209	0.9957882881690978
6	137	0.9957882881690978
6	197	0.9957882881690978
6	165	0.9957882881690978
6	43	0.9957882881690978
6	206	0.9957882881690978
6	156	0.9957227801079689
6	219	0.9956369074897903
6	214	0.9956369074897903
6	130	0.9956369074897903
6	5	0.9950947365716124
6	203	0.9950947365716124
6	185	0.9950947365716124
20	103	0.9950600489495498
2	82	0.9947461948224074
6	178	0.9945616799100749
4	16	0.9944245367104798
4	89	0.9941539851850764
16	149	0.993923932617682
0	23	0.9929702704056655
0	146	0.9929702704056655
0	188	0.9929702704056655
0	101	0.9929702704056655
0	6	0.9929702704056655
0	117	0.9929702704056655
0	147	0.9929702704056655
0	27	0.9929702704056655
0	81	0.9929702704056655
0	145	0.9929702704056655
0	54	0.9929702704056655
0	48	0.9929702704056655
0	200	0.9929702704056655
0	11	0.9929702704056655
0	165	0.9927675496581331
2	163	0.9927395268081028
4	185	0.9926106049985973
4	131	0.9926106049985973
4	203	0.9926106049985973
4	22	0.9926106049985973
16	150	0.9923557908848859
0	176	0.9923260450474545
0	32	0.9923260450474545
0	148	0.9923260450474545
0	135	0.9923260450474545
0	83	0.9923260450474545
0	166	0.9923260450474545
2	70	0.9923254095003412
1	26	0.9923046792160223
1	25	0.9923046792160223
4	178	0.9919816253668752
16	26	0.9917002423382761
2	210	0.9914096566485062
0	210	0.991199652968408
16	43	0.9910344313183698
16	195	0.9910344313183698
16	210	0.9910344313183698
16	34	0.9910344313183698
16	186	0.9910344313183698
16	137	0.9910344313183698
16	82	0.9910344313183698
16	41	0.9910344313183698
16	197	0.9910344313183698
2	26	0.9910342463032141
16	103	0.9907709586665041
0	155	0.9904984704675067
0	136	0.990407835483628
0	163	0.990407835483628
1	34	0.9903297850227182
1	195	0.9903297850227182
1	184	0.9903297850227182
4	129	0.9903297850227182
4	209	0.9903297850227182
4	34	0.9903297850227182
1	197	0.9903297850227182
1	209	0.9903297850227182
4	186	0.9903297850227182
1	206	0.9903297850227182
4	165	0.9903297850227182
20	89	0.9902704841035528
2	91	0.9899880195215542
0	114	0.9896609635874661
0	24	0.9896609635874661
0	201	0.9896609635874661
0	92	0.9896609635874661
6	155	0.989643860302449
0	150	0.9893448699132567
0	213	0.9892198894745188
4	21	0.9888100281277622
2	207	0.9887597241245996
6	127	0.987844155649511
16	87	0.9856828403761299
16	35	0.9855292326824445
1	113	0.9838330906183014
1	127	0.9837763480378915
4	127	0.9837763480378915
0	214	0.9824709516075383
2	15	0.9817182258111523
0	186	0.9812774098064883
0	129	0.9812774098064883
6	77	0.9800626589469706
16	44	0.9796075137869393
0	31	0.9794837598255299
20	149	0.9792512966352319
16	156	0.9786462592452714
6	113	0.9782465869415842
0	149	0.9776082220078635
4	87	0.9774724146530135
16	219	0.9771616314614805
16	182	0.9771616314614805
15	28	0.9745208482165083
2	38	0.9735290999291591
0	33	0.9734199201951597
6	38	0.973168591840316
0	172	0.9731054365915365
15	34	0.9729029700279749
0	185	0.97243198597666
0	5	0.97243198597666
0	21	0.97243198597666
9	186	0.971922109967569
2	12	0.9695660326521794
2	121	0.9692981083383191
4	44	0.9676762365148421
16	158	0.967344205590229
21	34	0.9658714566021396
17	34	0.9658714566021396
2	72	0.965718843309682
2	25	0.9648080273477622
20	206	0.9647481173071983
0	118	0.9646371019263454
2	136	0.9637729522337334
6	172	0.9634008117066684
6	30	0.963344690009466
16	136	0.9632255070729603
16	163	0.9632255070729603
16	16	0.9632255070729603
4	39	0.963012834089578
6	84	0.9623028506843434
6	163	0.9623028506843434
20	16	0.9620899525102865
3	34	0.9607219066930516
6	16	0.9605735144395007
0	132	0.9596318377340732
17	63	0.95956212980753
13	149	0.9594186520456695
14	149	0.9594186520456695
15	43	0.9591961007290054
6	42	0.9591497027448375
6	177	0.9591497027448375
9	182	0.9585868793871667
7	182	0.9585868793871667
0	190	0.9585857580639519
6	207	0.9585193254238275
13	201	0.9572487183016809
14	201	0.9572487183016809
20	93	0.9555227125558625
20	28	0.9550698817414434
16	63	0.9543912457753915
21	92	0.9540910917271694
19	92	0.9540910917271694
17	92	0.9540910917271694
6	182	0.9523736093219775
16	107	0.9523533535946922
6	131	0.9518143076842474
6	158	0.9515575467063249
3	63	0.9502710085378946
21	103	0.949206341864245
19	103	0.949206341864245
20	186	0.9487570894697391
4	63	0.9479929910035763
2	10	0.9463944986794591
18	6	0.9454451063442787
15	6	0.9454451063442787
15	201	0.9449604961258811
18	201	0.9449604961258811
1	91	0.9440263027675343
15	120	0.9435695968106406
7	45	0.9419718972932181
9	45	0.9419718972932181
7	28	0.9419122097073567
6	63	0.9414517084998719
20	44	0.9413895553045231
4	90	0.9406934382637215
19	93	0.9372271607980822
6	81	0.9362897474253645
16	30	0.9360764480284012
20	87	0.9357818653220583
13	96	0.9342855777756569
14	96	0.9342855777756569
10	28	0.9334561724364747
20	172	0.9332185842229122
23	201	0.9330162895470557
15	155	0.9329182447382609
6	91	0.9324496399904583
9	197	0.9305574695819913
20	152	0.9301200529195983
25	34	0.9299392050661741
2	216	0.9291578238619365
7	44	0.9285248050868589
20	201	0.9285171831884427
6	28	0.9283674077029778
0	128	0.9280752225809691
6	133	0.9279340203626281
6	96	0.9279340203626281
6	120	0.9277934909742214
16	42	0.9268930967770944
6	93	0.926524273115686
20	43	0.9262571611002893
20	34	0.9262571611002893
23	6	0.9260856896735453
14	6	0.9260856896735453
13	6	0.9260856896735453
4	128	0.9254228596678669
1	128	0.9254228596678669
1	175	0.9254228596678669
4	175	0.9254228596678669
16	93	0.9250188756855245
7	16	0.9242031956335366
9	16	0.9242031956335366
9	165	0.9239299271926025
0	121	0.9229884590846802
14	28	0.9223966750358489
7	150	0.9223413216965026
6	175	0.9221944984184727
15	63	0.9221166392374126
16	91	0.9216468011163675
2	190	0.921291024079739
4	149	0.9211491960505557
0	14	0.9194044564626591
9	174	0.9188441894667109
9	36	0.9186925875891225
23	122	0.9186457318156032
6	117	0.9178071958866765
6	194	0.9178071958866765
6	176	0.9178071958866765
6	83	0.9178071958866765
6	201	0.9178071958866765
6	146	0.9178071958866765
6	32	0.9178071958866765
6	114	0.9178071958866765
6	147	0.9178071958866765
6	57	0.9178071958866765
6	213	0.9178071958866765
6	24	0.9178071958866765
6	23	0.9178071958866765
6	166	0.9178071958866765
6	100	0.9178071958866765
6	145	0.9178071958866765
6	54	0.9178071958866765
6	148	0.9178071958866765
6	92	0.9178071958866765
6	200	0.9178071958866765
6	135	0.9178071958866765
6	196	0.9178071958866765
16	22	0.917716571083019
1	22	0.917716571083019
5	201	0.9168926818806172
6	72	0.9166781287654305
6	187	0.9166781287654305
19	165	0.9156971459170342
20	122	0.915279505806002
4	31	0.9146247800931242
1	31	0.9146247800931242
14	184	0.9141806445749493
23	184	0.9141806445749493
0	162	0.9129666560270114
5	149	0.9126871777570553
13	132	0.9124094815079614
21	70	0.9119513258859393
17	70	0.9119513258859393
13	140	0.9105391770783963
14	122	0.9098651527498547
13	122	0.9098651527498547
19	63	0.9089179045232232
18	122	0.9088289157524216
15	122	0.9088289157524216
11	6	0.9087897225900746
10	6	0.9087897225900746
9	51	0.9087539294266254
7	51	0.9087539294266254
7	184	0.9087497490666488
9	184	0.9087497490666488
4	190	0.9078936577267603
1	190	0.9078936577267603
4	132	0.9078936577267603
4	46	0.9078936577267603
1	132	0.9078936577267603
11	201	0.9074177332557631
10	201	0.9074177332557631
5	140	0.9073844055056385
15	140	0.9068400408346976
18	140	0.9068400408346976
6	136	0.9067768714060606
16	81	0.9062952864477926
19	210	0.9051666152571911
9	201	0.9048330821184061
17	120	0.9046112091818883
21	120	0.9046112091818883
3	120	0.9046112091818883
0	120	0.9045536683407814
4	152	0.9043440864270705
0	193	0.9039139208937742
1	103	0.9033031953220676
11	122	0.9032957543179984
10	122	0.9032957543179984
5	162	0.9029579551505632
16	65	0.9019096705065835
1	156	0.9018742469579557
6	119	0.9009693755651178
20	156	0.8999102804297832
17	43	0.8987159857632515
