disease,SnoRNA,Score
76,34,0.999994522414222
99,34,0.999994522414222
7,34,0.999994522414222
108,34,0.999994522414222
72,34,0.999994522414222
99,35,0.9999941710842032
108,35,0.9999941710842032
24,143,0.9999910834382876
11,138,0.9999901453668516
23,138,0.9999896061669836
24,156,0.99998745619303
77,34,0.9999820513543564
24,50,0.9974792031270996
23,292,0.9974735889473642
9,99,0.9973936571669548
9,94,0.9973936571669548
11,126,0.9973792099599528
99,255,0.9973634261643024
76,255,0.9973634261643024
72,255,0.9973634261643024
108,255,0.9973634261643024
54,12,0.9972064355443788
23,126,0.997190775892168
108,1,0.9971532934747628
54,202,0.9970839982228284
9,325,0.9970224041682412
23,143,0.9969707701507424
54,43,0.9969385333247476
54,46,0.9969385333247476
54,31,0.9969385333247476
54,78,0.9969385333247476
54,34,0.9969385333247476
53,57,0.9968661537307322
24,202,0.9968041912634004
51,177,0.9967885975558018
9,15,0.996661241634603
9,136,0.996661241634603
11,122,0.9966571220825192
23,122,0.9966310382617036
34,191,0.9965195612268944
9,80,0.9964512313772134
9,50,0.996404091958926
23,110,0.9963507907611906
91,8,0.9963422756446474
23,156,0.996329826395209
9,8,0.9962656826524908
23,297,0.9962080221767236
24,101,0.9961866982537108
24,83,0.9961866982537108
24,177,0.9961866982537108
99,152,0.9959785648666556
23,35,0.9959628679143
23,30,0.9959628679143
24,57,0.9957933199609728
54,57,0.995737132628755
23,325,0.9955056216139698
24,273,0.995492965363422
9,202,0.99535595774267
9,7,0.9953404827990112
42,292,0.9953197703273772
82,292,0.9953197703273772
110,292,0.9953197703273772
34,297,0.9952794001635684
9,88,0.9952757481274052
77,255,0.995167584248694
29,255,0.995167584248694
11,102,0.995154609422664
24,6,0.9951528404033548
11,97,0.9951248988150774
54,289,0.9950718200321425
34,102,0.994942191663064
34,147,0.994793333183108
99,29,0.9947781132239172
108,29,0.9947781132239172
110,290,0.9947501452449384
53,8,0.9947123147876266
99,42,0.9946584889881864
99,46,0.9946584889881864
72,43,0.9946584889881864
99,44,0.9946584889881864
72,46,0.9946584889881864
108,33,0.9946584889881864
7,30,0.9946584889881864
99,33,0.9946584889881864
108,42,0.9946584889881864
108,44,0.9946584889881864
99,41,0.9946584889881864
108,46,0.9946584889881864
108,41,0.9946584889881864
76,31,0.9946584889881864
76,46,0.9946584889881864
108,32,0.9946584889881864
99,32,0.9946584889881864
99,45,0.9946584889881864
108,31,0.9946584889881864
108,43,0.9946584889881864
108,30,0.9946584889881864
99,31,0.9946584889881864
108,27,0.9946584889881864
99,27,0.9946584889881864
99,30,0.9946584889881864
7,42,0.9946584889881864
108,45,0.9946584889881864
7,46,0.9946584889881864
72,42,0.9946584889881864
72,32,0.9946584889881864
72,30,0.9946584889881864
99,43,0.9946584889881864
21,325,0.994628439476782
39,177,0.9945829707621402
54,323,0.9944153770615988
9,100,0.9943939882742742
9,14,0.9943939882742742
11,5,0.9943582242777708
11,4,0.9943582242777708
11,3,0.9943582242777708
11,9,0.9943582242777708
9,101,0.9942688190876404
24,74,0.9941026643197132
24,58,0.9941026643197132
24,90,0.9941026643197132
24,2,0.9941026643197132
24,132,0.9941026643197132
24,129,0.9941026643197132
24,108,0.9941026643197132
24,92,0.9941026643197132
23,1,0.9940926598327468
24,28,0.9939671192313692
99,138,0.9938925103121584
9,237,0.9938802562240898
9,142,0.993831162891799
110,143,0.9938018380692358
42,143,0.9938018380692358
82,143,0.9938018380692358
99,264,0.9937550755438832
99,202,0.9937537120856692
23,202,0.9937520557707736
24,21,0.993702626569395
24,135,0.993702626569395
21,103,0.9936949465857956
23,26,0.9936029897779264
34,35,0.9935596858542568
9,131,0.9935490561203624
23,309,0.9935135596410688
23,290,0.9935057611955428
11,133,0.9934974873684832
11,316,0.993486410232396
23,29,0.993428245592688
9,126,0.9934167599646384
21,8,0.9933649080914336
91,34,0.9933602608090704
11,125,0.9932489104836366
11,99,0.9932227122857163
110,109,0.9932227122857163
11,94,0.9932227122857163
11,109,0.9932227122857163
110,94,0.9932227122857163
110,99,0.9932227122857163
23,130,0.9931905614517264
23,316,0.9931405378762164
24,219,0.9931187918612702
91,35,0.9930243986420336
24,221,0.9929928520570552
24,134,0.9929928520570552
24,111,0.9929928520570552
108,264,0.9929652197209844
74,264,0.9929652197209844
24,282,0.9929335241881444
24,274,0.9929311838877256
23,299,0.9929086412515588
23,34,0.9929086412515588
23,32,0.9929086412515588
23,46,0.9929086412515588
23,31,0.9929086412515588
23,312,0.9929086412515588
23,43,0.9929086412515588
23,133,0.992901336912696
9,231,0.9928869710757352
91,202,0.9928720355517012
23,101,0.992857463108251
23,177,0.992857463108251
54,28,0.992740054046064
54,19,0.992669232809024
34,83,0.9926249466258672
34,99,0.9926249466258672
34,80,0.9926249466258672
34,94,0.9926249466258672
34,50,0.9926249466258672
34,177,0.9926249466258672
24,19,0.9926185902392562
9,243,0.9925861192958568
24,154,0.9925763449444256
53,99,0.9925623979581004
91,126,0.992556295524017
53,19,0.9924125776936872
54,6,0.9923731770792332
110,57,0.9923576797076904
54,101,0.9923209239608306
34,138,0.9922928722015636
82,325,0.99222855600317
108,39,0.9922118377053308
99,39,0.9922118377053308
7,39,0.9922118377053308
53,136,0.9921671830457808
9,24,0.9921562321913092
9,294,0.9921562321913092
9,71,0.9921562321913092
23,206,0.9921438590938162
11,80,0.9919899025050148
110,80,0.9919899025050148
34,107,0.9919803329149238
21,42,0.9919137380715094
39,207,0.991874123015926
53,24,0.9918553158312065
11,206,0.9918139867923804
11,35,0.9917771069741186
11,30,0.9917771069741186
23,228,0.9917688621963016
23,273,0.9917688621963016
11,107,0.9916577551751338
54,126,0.9916566754035012
74,152,0.9916351891346984
82,156,0.991615409174188
110,156,0.991615409174188
42,156,0.991615409174188
54,33,0.9915873091566108
54,44,0.9915873091566108
54,63,0.9915873091566108
23,57,0.9915609098456308
91,43,0.9915021437004768
91,46,0.9915021437004768
91,33,0.9915021437004768
91,31,0.9915021437004768
74,35,0.99138105535212
74,1,0.9913045960509604
23,305,0.9912786373799932
9,132,0.9912661559919924
9,74,0.9912661559919924
9,90,0.9912661559919924
9,2,0.9912661559919924
9,58,0.9912661559919924
9,92,0.9912661559919924
74,34,0.9912454646534996
23,113,0.9912443304828096
23,6,0.991226479706811
9,28,0.991214081625732
21,56,0.9912045631299444
21,62,0.9912045631299444
