disease	SnoRNA	Score
76	34	0.999994522414222
99	34	0.999994522414222
7	34	0.999994522414222
108	34	0.999994522414222
72	34	0.999994522414222
99	35	0.9999941710842031
108	35	0.9999941710842031
24	143	0.9999910834382875
11	138	0.9999901453668515
23	138	0.9999896061669836
24	156	0.9999874561930299
77	34	0.9999820513543564
24	50	0.9974792031270995
23	292	0.9974735889473642
9	99	0.9973936571669547
9	94	0.9973936571669547
11	126	0.9973792099599529
99	255	0.9973634261643024
76	255	0.9973634261643024
72	255	0.9973634261643024
108	255	0.9973634261643024
54	12	0.9972064355443789
23	126	0.997190775892168
108	1	0.9971532934747628
54	202	0.9970839982228284
9	325	0.9970224041682411
23	143	0.9969707701507423
54	43	0.9969385333247475
54	46	0.9969385333247475
54	31	0.9969385333247475
54	78	0.9969385333247475
54	34	0.9969385333247475
53	57	0.9968661537307322
24	202	0.9968041912634004
51	177	0.9967885975558018
9	15	0.996661241634603
9	136	0.996661241634603
11	122	0.9966571220825193
23	122	0.9966310382617035
34	191	0.9965195612268943
9	80	0.9964512313772134
9	50	0.9964040919589259
23	110	0.9963507907611906
91	8	0.9963422756446474
23	156	0.996329826395209
9	8	0.9962656826524909
23	297	0.9962080221767237
24	101	0.9961866982537109
24	83	0.9961866982537109
24	177	0.9961866982537109
99	152	0.9959785648666557
23	35	0.9959628679143
23	30	0.9959628679143
24	57	0.9957933199609729
54	57	0.995737132628755
23	325	0.9955056216139698
24	273	0.9954929653634221
9	202	0.9953559577426699
9	7	0.9953404827990113
42	292	0.9953197703273773
82	292	0.9953197703273773
110	292	0.9953197703273773
34	297	0.9952794001635684
9	88	0.9952757481274052
77	255	0.9951675842486939
29	255	0.9951675842486939
11	102	0.9951546094226639
24	6	0.9951528404033549
11	97	0.9951248988150774
54	289	0.9950718200321425
34	102	0.994942191663064
34	147	0.9947933331831079
99	29	0.9947781132239171
108	29	0.9947781132239171
110	290	0.9947501452449384
53	8	0.9947123147876266
99	42	0.9946584889881865
99	46	0.9946584889881865
72	43	0.9946584889881865
99	44	0.9946584889881865
72	46	0.9946584889881865
108	33	0.9946584889881865
7	30	0.9946584889881865
99	33	0.9946584889881865
108	42	0.9946584889881865
108	44	0.9946584889881865
99	41	0.9946584889881865
108	46	0.9946584889881865
108	41	0.9946584889881865
76	31	0.9946584889881865
76	46	0.9946584889881865
108	32	0.9946584889881865
99	32	0.9946584889881865
99	45	0.9946584889881865
108	31	0.9946584889881865
108	43	0.9946584889881865
108	30	0.9946584889881865
99	31	0.9946584889881865
108	27	0.9946584889881865
99	27	0.9946584889881865
99	30	0.9946584889881865
7	42	0.9946584889881865
108	45	0.9946584889881865
7	46	0.9946584889881865
72	42	0.9946584889881865
72	32	0.9946584889881865
72	30	0.9946584889881865
99	43	0.9946584889881865
21	325	0.9946284394767821
39	177	0.9945829707621402
54	323	0.9944153770615987
9	100	0.9943939882742742
9	14	0.9943939882742742
11	5	0.9943582242777708
11	4	0.9943582242777708
11	3	0.9943582242777708
11	9	0.9943582242777708
9	101	0.9942688190876405
24	74	0.9941026643197131
24	58	0.9941026643197131
24	90	0.9941026643197131
24	2	0.9941026643197131
24	132	0.9941026643197131
24	129	0.9941026643197131
24	108	0.9941026643197131
24	92	0.9941026643197131
23	1	0.9940926598327468
24	28	0.9939671192313692
99	138	0.9938925103121585
9	237	0.9938802562240898
9	142	0.993831162891799
110	143	0.9938018380692358
42	143	0.9938018380692358
82	143	0.9938018380692358
99	264	0.9937550755438832
99	202	0.9937537120856691
23	202	0.9937520557707736
24	21	0.993702626569395
24	135	0.993702626569395
21	103	0.9936949465857956
23	26	0.9936029897779265
34	35	0.9935596858542568
9	131	0.9935490561203625
23	309	0.9935135596410688
23	290	0.9935057611955427
11	133	0.9934974873684833
11	316	0.9934864102323961
23	29	0.9934282455926879
9	126	0.9934167599646383
21	8	0.9933649080914336
91	34	0.9933602608090705
11	125	0.9932489104836366
11	99	0.9932227122857163
110	109	0.9932227122857163
11	94	0.9932227122857163
11	109	0.9932227122857163
110	94	0.9932227122857163
110	99	0.9932227122857163
23	130	0.9931905614517265
23	316	0.9931405378762164
24	219	0.9931187918612702
91	35	0.9930243986420335
24	221	0.9929928520570552
24	134	0.9929928520570552
24	111	0.9929928520570552
108	264	0.9929652197209843
74	264	0.9929652197209843
24	282	0.9929335241881443
24	274	0.9929311838877255
23	299	0.9929086412515588
23	34	0.9929086412515588
23	32	0.9929086412515588
23	46	0.9929086412515588
23	31	0.9929086412515588
23	312	0.9929086412515588
23	43	0.9929086412515588
23	133	0.992901336912696
9	231	0.9928869710757353
91	202	0.9928720355517012
23	101	0.992857463108251
23	177	0.992857463108251
54	28	0.9927400540460641
54	19	0.992669232809024
34	83	0.9926249466258673
34	99	0.9926249466258673
34	80	0.9926249466258673
34	94	0.9926249466258673
34	50	0.9926249466258673
34	177	0.9926249466258673
24	19	0.9926185902392562
9	243	0.9925861192958568
24	154	0.9925763449444256
53	99	0.9925623979581004
91	126	0.992556295524017
53	19	0.9924125776936873
54	6	0.9923731770792332
110	57	0.9923576797076903
54	101	0.9923209239608306
34	138	0.9922928722015637
82	325	0.9922285560031701
108	39	0.9922118377053307
99	39	0.9922118377053307
7	39	0.9922118377053307
53	136	0.9921671830457807
9	24	0.9921562321913093
9	294	0.9921562321913093
9	71	0.9921562321913093
23	206	0.9921438590938162
11	80	0.9919899025050147
110	80	0.9919899025050147
34	107	0.9919803329149238
21	42	0.9919137380715094
39	207	0.9918741230159259
53	24	0.9918553158312063
11	206	0.9918139867923805
11	35	0.9917771069741186
11	30	0.9917771069741186
23	228	0.9917688621963016
23	273	0.9917688621963016
11	107	0.9916577551751338
54	126	0.9916566754035013
74	152	0.9916351891346983
82	156	0.991615409174188
110	156	0.991615409174188
42	156	0.991615409174188
54	33	0.9915873091566108
54	44	0.9915873091566108
54	63	0.9915873091566108
23	57	0.9915609098456307
91	43	0.9915021437004768
91	46	0.9915021437004768
91	33	0.9915021437004768
91	31	0.9915021437004768
74	35	0.9913810553521201
74	1	0.9913045960509603
23	305	0.9912786373799933
9	132	0.9912661559919924
9	74	0.9912661559919924
9	90	0.9912661559919924
9	2	0.9912661559919924
9	58	0.9912661559919924
9	92	0.9912661559919924
74	34	0.9912454646534996
23	113	0.9912443304828097
23	6	0.991226479706811
9	28	0.991214081625732
21	56	0.9912045631299443
